tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
600.0,2017,20,119.0,1,0,0,2.995732273553991,600.0,1207.0,2017.0,000600,1858607.39949,600.0,1.207,0.6494109516249638,0.0,0.5410618792971734,mid_density
600.0,2018,24,119.0,1,0,0,3.1780538303479458,600.0,1207.0,2018.0,000600,1858607.39949,600.0,1.207,0.6494109516249638,0.0,0.5410618792971734,mid_density
600.0,2019,13,119.0,1,1,1,2.5649493574615367,600.0,1222.0,2019.0,000600,1858607.39949,600.0,1.222,0.6574815102615623,0.6574815102615623,0.528838808250573,mid_density
600.0,2020,44,119.0,1,1,1,3.784189633918261,600.0,1312.0,2020.0,000600,1858607.39949,600.0,1.312,0.7059048620811537,0.7059048620811537,0.4660045836516425,low_density
600.0,2021,10,119.0,1,1,1,2.302585092994046,600.0,1222.0,2021.0,000600,1858607.39949,600.0,1.222,0.6574815102615623,0.6574815102615623,0.528838808250573,mid_density
700.0,2013,3,7.0,0,0,0,1.0986122886681098,700.0,2697.0,2013.0,000700,2757425.91342,700.0,2.697,0.978086115341879,0.0,0.21657754010695188,low_density
700.0,2014,1,7.0,0,0,0,0.0,700.0,3097.0,2014.0,000700,2757425.91342,700.0,3.097,1.1231489429787909,0.0,0.13368983957219252,low_density
700.0,2015,2,7.0,0,0,0,0.6931471805599453,700.0,3241.0,2015.0,000700,2757425.91342,700.0,3.241,1.1753715609280793,0.0,0.1092436974789916,low_density
700.0,2017,1,7.0,0,0,0,0.0,700.0,3451.0,2017.0,000700,2757425.91342,700.0,3.451,1.251529545437458,0.0,0.08212375859434683,high_density
700.0,2020,1,7.0,0,1,0,0.0,700.0,3736.0,2020.0,000700,2757425.91342,700.0,3.736,1.3548868101287577,1.3548868101287577,0.061879297173414824,high_density
701.0,2013,29,91.0,1,0,0,3.367295829986474,,,,,,,,,,,low_density
701.0,2014,22,91.0,1,0,0,3.091042453358316,,,,,,,,,,,low_density
701.0,2015,14,91.0,1,0,0,2.6390573296152584,,,,,,,,,,,low_density
701.0,2016,21,91.0,1,0,0,3.044522437723423,,,,,,,,,,,low_density
